course_id,course_title,lec_section,lab_section,lec_credit,lab_credit,day,time,room,lecturer
261103,Basic Computer Engineering,001,000,1,2,WeFr,1300-18001400-1600,516/501516,อานันท์  สีห์พิทักษ์เกียรติCo-Instrucนวดนย์  คุณเลิศกิจชินวัตร  อิศราดิสัยกุลธนาทิพย์  จันทร์คง
261111,Internet and Online Community in the Age of AI,001,000,3,0,We,0930-1230,mango canvas,ธนาทิพย์  จันทร์คงCo-Instrucชินวัตร  อิศราดิสัยกุล
261111,Internet and Online Community in the Age of AI,002,000,3,0,We,0930-1230,mango canvas,ธนาทิพย์  จันทร์คงCo-Instrucชินวัตร  อิศราดิสัยกุล
261111,Internet and Online Community in the Age of AITeaching  medium is in English/เรียนเป็นภาษาอังกฤษ,701,000,3,0,We,1330-1630,mango canvas,KENNETH  COSH
261111,Internet and Online Community in the Age of AI,801,000,3,0,We,0930-1230,mango canvas,ธนาทิพย์  จันทร์คงCo-Instrucชินวัตร  อิศราดิสัยกุล
261111,Internet and Online Community in the Age of AI,802,000,3,0,We,0930-1230,mango canvas,ธนาทิพย์  จันทร์คงCo-Instrucชินวัตร  อิศราดิสัยกุล
261200,Object-Oriented Programming,701,000,2,1,MThMTh,0930-10301030-1200,518518,นวดนย์  คุณเลิศกิจ
261207,Basic Computer Engineering Laboratory,000,001,0,2,MTh,0930-1230,516 /413A,โดม  โพธิกานนท์
261207,Basic Computer Engineering Laboratory,000,801,0,2,MTh,0930-1230,516/413A,โดม  โพธิกานนท์
261210,Logic and Digital Circuits,001,000,3,0,TuF,1100-1230,516,ภาสกร  แช่มประเสริฐ
261210,Logic and Digital Circuits,099,000,3,0,MTh,1100-1230,2-401,อัฐนันต์  วรรณชัย
261210,Logic and Digital Circuits,801,000,3,0,TuF,1100-1230,516,ภาสกร  แช่มประเสริฐ
261210,Logic and Digital Circuits,802,000,3,0,MTh,1100-1230,2-401,อัฐนันต์  วรรณชัย
261212,Logic and Digital Circuits Laboratory,000,001,0,1,Tu,1430-1730,518,ภาสกร  แช่มประเสริฐCo-Instrucพนธกร  สอนจันทร์
261212,Logic and Digital Circuits Laboratory,000,002,0,1,Fr,1430-1730,518,กำพล  วรดิษฐ์Co-Instrucพนธกร  สอนจันทร์
261212,Logic and Digital Circuits Laboratory,000,097,0,1,Mo,1430-1730,EE16-307,วิศรุต  อัจฉริยวิริยะ
261212,Logic and Digital Circuits Laboratory,000,098,0,1,Mo,1300-1600,RLC,อัฐนันต์  วรรณชัย
261212,Logic and Digital Circuits Laboratory,000,099,0,1,Th,1300-1600,RLC,อัฐนันต์  วรรณชัย
261212,Logic and Digital Circuits Laboratory,000,801,0,1,Tu,1430-1730,518,ภาสกร  แช่มประเสริฐCo-Instrucพนธกร  สอนจันทร์
261212,Logic and Digital Circuits Laboratory,000,802,0,1,Mo,1430-1730,EE16-307,วิศรุต  อัจฉริยวิริยะ
261216,Discrete Mathematics for Computer Engineers,001,000,3,0,MThTu,1430-16001330-1430,slope ใหญ่ คณะวิศวกรรมศาสตร์413A,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,002,000,3,0,MThTu,1430-16001330-1430,slope ใหญ่ คณะวิศวกรรมศาสตร์413B,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,003,000,3,0,MThTu,1430-16001430-1530,slope ใหญ่ คณะวิศวกรรมศาสตร์413A,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,004,000,3,0,MThTu,1430-16001430-1530,slope ใหญ่ คณะวิศวกรรมศาสตร์413B,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,005,000,3,0,MThTu,1430-16001530-1630,slope ใหญ่ คณะวิศวกรรมศาสตร์413A,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,006,000,3,0,MThTu,1430-16001530-1630,slope ใหญ่ คณะวิศวกรรมศาสตร์413B,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,011,000,3,0,MThTu,1430-16001330-1430,slope ใหญ่ คณะวิศวกรรมศาสตร์413A,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,012,000,3,0,MThTu,1430-16001330-1430,slope ใหญ่ คณะวิศวกรรมศาสตร์413B,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,013,000,3,0,MThTu,1430-16001430-1530,slope ใหญ่ คณะวิศวกรรมศาสตร์413A,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,014,000,3,0,MThTu,1430-16001430-1530,slope ใหญ่ คณะวิศวกรรมศาสตร์413B,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,015,000,3,0,MThTu,1430-16001530-1630,slope ใหญ่ คณะวิศวกรรมศาสตร์413A,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,016,000,3,0,MThTu,1430-16001530-1630,slope ใหญ่ คณะวิศวกรรมศาสตร์413B,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,099,000,3,0,MThTu,1430-16001530-1630,slope ใหญ่ คณะวิศวกรรมศาสตร์413B,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer EngineersTeaching  medium is in English/เรียนเป็นภาษาอังกฤษ,701,000,3,0,TuF,0930-1100,521,เจนจิรา  ใจมั่ง
261216,Discrete Mathematics for Computer Engineers,801,000,3,0,MThTu,1430-16001330-1430,slope ใหญ่ คณะวิศวกรรมศาสตร์413A,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,802,000,3,0,MThTu,1430-16001330-1430,slope ใหญ่ คณะวิศวกรรมศาสตร์413B,ชินวัตร  อิศราดิสัยกุล
261216,Discrete Mathematics for Computer Engineers,803,000,3,0,MThTu,1430-16001430-1530,slope ใหญ่ คณะวิศวกรรมศาสตร์413A,ชินวัตร  อิศราดิสัยกุล
261217,Data Structues for Computer Engineers,001,000,3,0,TuF,0930-1100,719 ชั้น 7 ตึก 30 ปี คณะวิศวะฯ,ปฏิเวธ  วุฒิสารวัฒนา
